username,comment,commentDate,comments,label
m.firzafrdnsyh,"01 & 03 ilmu token listrik , semakin sedikit semakin berisik 😋🫵",2024-03-20T15:03:51.000Z,"b'01 & 03 electric token science, the less the more noisy'",NEGATIVE
della.frawidana,Alhamdulillah abah terselamatkan dari amanah  yang  berat,2024-03-20T15:38:08.000Z,b'Alhamdulillah I was saved from a heavy trust',NEGATIVE
rafa.rafiumi,Kita tinggal liat  saja  dengan janji2nya amanah tidak..dan siap2 pajak pada naik semua jgn  pada  ngeluh ya😂😂😂,2024-03-20T15:41:52.000Z,"b'We'll just have to see whether the promises are trustworthy or not...and be prepared for taxes to go up, don't complain, okay?",NEGATIVE
dina_hermina_zakaria,Allah tidak tidur.. kebenaran akan segera terkuat dan siap2 lah menghadapi pengadilan akhirat,2024-03-20T15:08:12.000Z,b'Allah does not sleep.. the truth will soon be stronger and ready to face the judgment of the hereafter',NEGATIVE
alilaeos,Angka itu sudah  tidak  penting bagi saya pribadi..... dari  awal sudah  tidak  benar....terdapat begitu banyak penggelembungan suara namun  tidak  pernah ada perbaaikan  dari  si jongos KPU dan Bawaslu....Jangan lupa Pengadilan Akhirat menanti kalian para pelaku kecurangan.....Sesungguhnya Azab Allah itu sangat pedih....,2024-03-20T15:27:52.000Z,"b'That figure is no longer important to me personally.....it was not true from the start....there was so much vote inflation but there was never any improvement from the KPU and Bawaslu bosses....Don't forget that the Hereafter is waiting for you. the perpetrators of cheating....Indeed, Allah's punishment is very painful....'",NEGATIVE
lieftaaffriliaputri,Wkwk mau di ulang kek apapun juga tetep prabowo  yang  menang. Terima lah kekalahan ini,2024-03-20T15:41:14.000Z,"B'Wkwk, no matter what kind of repeat it is, Prabowo will still win. Accept this defeat'",POSITIVE
yeniariani_79,Semua  yang  terlibat kecurangan kita doakan anak cucu mantu dirinya sendiri  tidak  selamet dunia akherat ..Aamiin,2024-03-20T15:29:49.000Z,"b'All those involved in fraud, we pray that their in-laws' children and grandchildren will not survive in the afterlife..Aamiin'",NEGATIVE
ririnoktavia3,"Saya hy berdoa utk  yang  memilih jalan perubahan bersama  Bapak  Anies, semoga kalian tetap bisa merasakan rasa kenyang dn berkecukupan, anak2 di tuntaskn dalam mencari ilmu  yang  tinggi agar bermanfaat nantinya, mndptkn pekerjaan  yang  layak agar bisa mengangkat derajad orgtua 🤲 sehat2 kalian  yang  berjalan di jalan Perubahan, Alhamdulillah Allah menyelematkn  Bapak  Anies dn cak imin dari kekacauan. Selamat utk  Bapak  Prabowo,  bagaimana   Bapak  rasanya menang?? 😊 semoga sampai tuntas ya  Bapak  5th, di mudahkn mengemban amanah ini. Sekedar mengingatkan, jgn ada KERETAKAN antara  Bapak  prabowo dg  Bapak  jokowi 😊  karena  saya melihat kalian berdua sama2 tidak mau mengalah. Hati2",2024-03-20T15:46:52.000Z,"b'I just pray for those who choose the path of change with Mr. Anies, hopefully you can still feel full and sufficient, your children will be completed in seeking higher knowledge so that it will be useful in the future, get a decent job so that you can raise the status of your healthy parents who are walking in the world. Path of Change, Thank God, Allah saved Mr. Anies and Cak Imin from chaos. Congratulations to Mr Prabowo, how do you feel about winning?  I hope that until it is finished, Mr. 5, it will be easy to carry out this mandate. Just a reminder, don't let there be a rift between Mr Prabowo and Mr Jokowi because I see you both don't want to budge. Be careful'",NEGATIVE
umysulawati,"Selalu bangga di barisan abah anies di barisan org² jujur,🔥😍",2024-03-20T15:21:34.000Z,"b'Always proud to be in the line of abah anies in the line of honest people,'",POSITIVE
handie.noor,"Yng teriak curang mana suara nya ? Ditingkat KPU  sudah  panas dingin  tidak  bisa ngebuktiin  hanya asumsi biar  masyarakat   chaos  tidk percaya KPU  pdahal zonk,  cuma  mendelegitimasi  hasil  pemilihan umum   biar 02  tidak  jd presiden  bertarunglah secara jantan  disaat anda keberatan   dengan  gibran  harusnya  pemilihan umum  iti di boikat jgn ada  yang  maju baik 01 dan 03   sudah  tanda tangan tanding  kalah teriak curang  karena MK  dll. Rakyat  sudah  pinter   Bapak  lik jgn di bikin molak malilk negri kita.",2024-03-20T15:38:35.000Z,"b'The one who shouted cheating, where's his voice? At the KPU level, it's already hot and cold and can't prove it, it's just an assumption so that people in chaos don't believe in the KPU even though it's zonk, it's just delegitimizing the results of the general election so that 02 doesn't become president, fight manfully when you object to Gibran, the general election should be in the boikat, don't let anyone run for both 01 and 03 already signed the match and lost, shouting cheating because of MK etc. The people are smart, sir, don't let it be a shame for our country.'",NEGATIVE
